edge_num,Node_1,X_1,Y_1,Node_2,X_2,Y_2,length,C-betweenness_1,C-betweenness_2,C-closness_1,C-closness_2,K-core_1,K-core_2,Edge_vunerability
20,177,98.73,1460.84,111,18.31,1521.15,100.6892,0.025391988827524917,0.04634037961023297,0.00045140106504165775,0.00044730250732490405,2,2,0.004021597325488831
21,177,98.73,1460.84,1,-0.36,1456.53,99.1806,0.025391988827524917,0.0,0.00045140106504165775,0.0004321617799429556,2,1,0.006925124935555971
22,107,153.30,1434.99,177,98.73,1460.84,60.3822,0.10969339173490764,0.025391988827524917,0.00046310176629885943,0.00045140106504165775,2,2,0.00531345553891818
23,107,153.30,1434.99,98,140.37,1410.58,27.6228,0.10969339173490764,0.044816860280581475,0.00046310176629885943,0.00045741480265123585,2,1,0.02090793367880392
24,154,637.24,1521.15,133,360.09,1390.47,320.7162,0.341903129562623,0.12721386402589982,0.000590379736913436,0.0005084367120180713,2,2,0.0013299739031679652
25,133,360.09,1390.47,131,354.24,1522.67,132.3260,0.12721386402589982,0.13191138195899194,0.0005084367120180713,0.0005179412594274564,2,2,0.0017132482125772998
26,133,360.09,1390.47,107,153.30,1434.99,213.3854,0.12721386402589982,0.10969339173490764,0.0005084367120180713,0.00046310176629885943,2,2,0.0035607678017455942
27,98,140.37,1410.58,35,222.23,1361.75,118.9985,0.044816860280581475,0.0,0.00045741480265123585,0.0004339280645341621,1,1,0.006638665869059921
28,98,140.37,1410.58,21,130.32,1324.41,94.6168,0.044816860280581475,0.0,0.00045741480265123585,0.00043854172797319884,1,1,0.007008585647751061
29,95,1350.24,1303.59,26,1557.03,1312.21,206.9697,0.07274804799085888,0.0,0.0007533032348966236,0.0006521908068403977,2,1,0.007932930521638454
30,93,1347.16,1516.88,95,1350.24,1303.59,231.6357,0.03999238240335174,0.07274804799085888,0.0006687364136312107,0.0007533032348966236,2,2,0.003863017838066047
31,95,1350.24,1303.59,92,1314.13,1302.91,36.1127,0.07274804799085888,0.09801307687424618,0.0007533032348966236,0.0007674905563671758,2,2,0.003099949583772729
32,174,952.25,1519.75,173,947.94,1278.49,299.7535,0.43572652828032754,0.4750841109629912,0.0006886730307498568,0.0008091087572945416,2,2,0.014822303595941015
33,94,1347.37,1256.20,95,1350.24,1303.59,50.0423,0.011172475084110962,0.07274804799085888,0.0007372231096648946,0.0007533032348966236,2,2,0.0007447702777577317
34,92,1314.13,1302.91,94,1347.37,1256.20,62.6425,0.09801307687424618,0.011172475084110962,0.0007674905563671758,0.0007372231096648946,2,2,0.0005880606695608139
35,155,645.14,1250.46,134,364.39,1324.41,295.6658,0.2851520345331048,0.005967117374468355,0.0008258567822886019,0.0007527976920562572,2,2,0.001105902130333325
36,155,645.14,1250.46,148,554.67,1240.40,91.0275,0.2851520345331048,0.31930425950612584,0.0008258567822886019,0.0008560399315850387,2,2,0.009200111635893377
37,144,523.80,1239.40,148,554.67,1240.40,30.8913,0.2968323493937663,0.31930425950612584,0.0008523548468247351,0.0008560399315850387,2,2,0.009237584994540778
38,134,364.39,1324.41,89,128.60,1238.25,255.8570,0.005967117374468355,0.0016504792737891195,0.0007527976920562572,0.0006816561276476556,2,2,0.000714654768926509
39,89,128.60,1238.25,79,12.56,1217.57,117.8606,0.0016504792737891195,0.0,0.0006816561276476556,0.0006733252404935242,2,2,6.063791973908509e-05
